S,D,M,S2,S3,D2,D3,genespace,nongenspace,gene,nongenic,DnDs,Dn,Ds,duO,duEst,RNS,mu_g_obs,mu_ref,gene_exp,ns_exp_mu,s_exp_mu,nc_exp_mu,dmu_ns,dmu_s,dmu_nc,duO_reduction,duEst_reduction,dmu_ns_reduction,dmu_s_reduction,dmu_nc_reduction,chi_DnDs,DnDs_p,gene_rate,ref_rate
0.001,1,0.625,0,0,1,0,4000,4000,4625,7591,2.01204819277108,2338,1162,0.609274140429456,0.607429851139507,-0.00184428928994862,1.15625,1.89775,7591,3795.5,1897.75,1897.75,0.61599262284284,0.612304044262943,0.5928072717692,0.390725859570544,0.392570148860493,0.38400737715716,0.387695955737057,0.4071927282308,0.867108822552047,0.061926394948131,6.42361111111111,10.5430555555556
0.001,1,0.8125,0,0,1,0,4000,4000,6018,7489,2,3006,1503,0.80357858192015,0.80357858192015,0,1.5045,1.87225,7489,3744.5,1872.25,1872.25,0.8027774068634,0.8027774068634,0.805982107090399,0.19642141807985,0.19642141807985,0.1972225931366,0.1972225931366,0.194017892909601,1,0,8.35833333333333,10.4013888888889
0.001,1,1,0,0,1,0,4000,4000,7296,7289,2.00881542699725,3646,1815,1.00096035121416,0.998765262724654,-0.00219508848950473,1.824,1.82225,7289,3644.5,1822.25,1822.25,1.00041157909178,0.996021402112773,1.0069968445603,-0.000960351214158495,0.00123473727534629,-0.000411579091782244,0.00397859788722732,-0.00699684456029637,0.878321165621859,0.0563466515732453,10.1333333333333,10.1236111111111
0.01,1,0.25,0,0,1,0,4000,4000,1787,7410,2.05152224824356,876,427,0.241160593792173,0.238191632928475,-0.00296896086369771,0.44675,1.8525,7410,3705,1852.5,1852.5,0.236437246963563,0.230499325236167,0.261268556005398,0.758839406207827,0.761808367071525,0.763562753036437,0.769500674763833,0.738731443994602,0.666498528526581,0.176200805070064,2.48194444444444,10.2916666666667
0.01,1,0.4375,0,0,1,0,4000,4000,3108,7462,1.91161616161616,1514,792,0.416510318949343,0.425891181988743,0.00938086303939963,0.777,1.8655,7462,3731,1865.5,1865.5,0.405789332618601,0.4245510586974,0.429911551862771,0.583489681050657,0.574108818011257,0.594210667381399,0.5754489413026,0.570088448137229,0.30265801833671,0.51904781580972,4.31666666666667,10.3638888888889
0.01,1,0.625,0,0,1,0,4000,4000,4463,7373,1.86899563318777,2140,1145,0.605316696053167,0.625661196256612,0.020344500203445,1.11575,1.84325,7373,3686.5,1843.25,1843.25,0.580496405804964,0.621185406211854,0.639088566390886,0.394683303946833,0.374338803743388,0.419503594195036,0.378814593788146,0.360911433609114,0.0642295635797442,1.19226502887416,6.19861111111111,10.2402777777778
0.01,1,0.8125,0,0,1,0,4000,4000,5806,7183,1.86177248677249,2815,1512,0.808297368787415,0.837393846582208,0.0290964777947933,1.4515,1.79575,7183,3591.5,1795.75,1795.75,0.783795071697063,0.841988027286649,0.823611304468885,0.191702631212585,0.162606153417792,0.216204928302937,0.158011972713351,0.176388695531115,0.0246616031366956,1.60797869534813,8.06388888888889,9.97638888888889
0.01,1,1,0,0,1,0,4000,4000,7161,7340,1.893605292172,3435,1814,0.975613079019073,1.00190735694823,0.0262942779291553,1.79025,1.835,7340,3670,1835,1835,0.935967302452316,0.988555858310627,1.04196185286104,0.0243869209809264,-0.00190735694822886,0.0640326975476839,0.0114441416893732,-0.0419618528610355,0.0596100942794977,1.22468019128857,9.94583333333333,10.1944444444444
0.03,1,0.25,0,0,1,0,4000,4000,1746,7526,1.78213507625272,818,459,0.231995748073346,0.245283018867925,0.0132872707945788,0.4365,1.8815,7526,3763,1881.5,1881.5,0.217379750199309,0.243954291788467,0.249269200106298,0.768004251926654,0.754716981132076,0.782620249800691,0.756045708211533,0.750730799893702,0.047844865822311,1.32016465902968,2.425,10.4527777777778
0.03,1,0.4375,0,0,1,0,4000,4000,3036,7341,1.77959697732998,1413,794,0.413567633837352,0.437406347909004,0.0238387140716524,0.759,1.83525,7341,3670.5,1835.25,1835.25,0.384961176951369,0.432638605094674,0.451709576351996,0.586432366162648,0.562593652090996,0.615038823048631,0.567361394905326,0.548290423648004,0.00843762729273241,2.07377966220664,4.21666666666667,10.1958333333333
0.03,1,0.625,0,0,1,0,4000,4000,4317,7517,1.78627280625543,2056,1151,0.574298257283491,0.607024078754822,0.0327258214713317,1.07925,1.87925,7517,3758.5,1879.25,1879.25,0.547026739390714,0.612478382333378,0.590661168019157,0.425701742716509,0.392975921245178,0.452973260609286,0.387521617666622,0.409338831980843,0.00212884718216719,2.67185551297387,5.99583333333333,10.4402777777778
0.03,1,0.8125,0,0,1,0,4000,4000,5745,7657,1.78985507246377,2717,1518,0.750293848765835,0.79195507378869,0.0416612250228549,1.43625,1.91425,7657,3828.5,1914.25,1914.25,0.709677419354839,0.792999869400549,0.788820686953115,0.249706151234165,0.20804492621131,0.290322580645161,0.207000130599451,0.211179313046885,0.000527943173829979,3.27741282106509,7.97916666666667,10.6347222222222
0.03,1,1,0,0,1,0,4000,4000,6854,7365,1.75863960504663,3206,1823,0.930617786829599,0.990359809911745,0.0597420230821453,1.7135,1.84125,7365,3682.5,1841.25,1841.25,0.870604209097081,0.990088255261371,0.991174473862865,0.0693822131704006,0.00964019008825534,0.129395790902919,0.00991174473862866,0.00882552613713505,1.14768953993952e-05,4.94017557650771,9.51944444444444,10.2291666666667
0.05,1,0.25,0,0,1,0,4000,4000,1580,7457,1.65675057208238,724,437,0.211881453667695,0.231996781547539,0.0201153278798444,0.395,1.86425,7457,3728.5,1864.25,1864.25,0.194179965133432,0.234410620893121,0.224755263510795,0.788118546332305,0.768003218452461,0.805820034866568,0.765589379106879,0.775244736489205,0.00185281356344162,2.73216827870703,2.19444444444444,10.3569444444444
0.05,1,0.4375,0,0,1,0,4000,4000,3086,7540,1.70156438026474,1414,831,0.409283819628647,0.442175066312997,0.0328912466843501,0.7715,1.885,7540,3770,1885,1885,0.375066312997348,0.440848806366048,0.446153846153846,0.590716180371353,0.557824933687003,0.624933687002653,0.559151193633952,0.553846153846154,0.000214683500541851,3.66820133189807,4.28611111111111,10.4722222222222
0.05,1,0.625,0,0,1,0,4000,4000,4132,7200,1.61149825783972,1850,1148,0.573888888888889,0.635833333333333,0.0619444444444445,1.033,1.8,7200,3600,1800,1800,0.513888888888889,0.637777777777778,0.63,0.426111111111111,0.364166666666667,0.486111111111111,0.362222222222222,0.37,8.42358732597036e-09,8.07450291751629,5.73888888888889,10
0.05,1,0.8125,0,0,1,0,4000,4000,5617,7397,1.73082010582011,2617,1512,0.759361903474382,0.81438420981479,0.0550223063404083,1.40425,1.84925,7397,3698.5,1849.25,1849.25,0.707584155738813,0.81762876841963,0.804650534000271,0.240638096525619,0.18561579018521,0.292415844261187,0.18237123158037,0.19534946599973,7.50808633089887e-06,5.124470742335,7.80138888888889,10.2736111111111
0.05,1,1,0,0,1,0,4000,4000,6727,7358,1.70443349753695,3114,1827,0.914243000815439,0.987632508833922,0.0733895080184833,1.68175,1.8395,7358,3679,1839.5,1839.5,0.846425659146507,0.993204675183474,0.970916009785268,0.0857569991845609,0.0123674911660776,0.153574340853493,0.00679532481652623,0.0290839902147323,5.56807221964557e-08,7.25429514042513,9.34305555555556,10.2194444444444
0.1,1,0.25,0,0,1,0,4000,4000,1627,7203,1.69124423963134,734,434,0.225878106344579,0.24448146605581,0.0186033597112314,0.40675,1.80075,7203,3601.5,1800.75,1800.75,0.203803970567819,0.241010689990282,0.254893794252395,0.774121893655421,0.75551853394419,0.796196029432181,0.758989310009718,0.745106205747605,0.00556309845157153,2.254683254171,2.25972222222222,10.0041666666667
0.1,1,0.4375,0,0,1,0,4000,4000,2928,7362,1.52122641509434,1290,848,0.397718011409943,0.452866069002988,0.0551480575930454,0.732,1.8405,7362,3681,1840.5,1840.5,0.350448247758761,0.460744362944852,0.429231187177397,0.602281988590057,0.547133930997012,0.649551752241239,0.539255637055148,0.570768812822603,5.33930755475911e-10,9.27251506219364,4.06666666666667,10.225
0.1,1,0.625,0,0,1,0,4000,4000,4129,7434,1.56091148115688,1781,1141,0.555421038471886,0.622814097390369,0.0673930589184826,1.03225,1.8585,7434,3717,1858.5,1858.5,0.479149852031208,0.613935969868173,0.649448479956955,0.444578961528114,0.377185902609631,0.520850147968792,0.386064030131827,0.350551520043045,5.6151008245581e-11,10.2506424411557,5.73472222222222,10.325
0.1,1,0.8125,0,0,1,0,4000,4000,5495,7517,1.67989240080699,2498,1487,0.731009711321006,0.794332845550087,0.0633231342290807,1.37375,1.87925,7517,3758.5,1879.25,1879.25,0.66462684581615,0.791273114274312,0.803512039377411,0.268990288678994,0.205667154449914,0.33537315418385,0.208726885725688,0.196487960622589,9.72180895549486e-08,7.01225291755376,7.63194444444445,10.4402777777778
0.1,1,1,0,0,1,0,4000,4000,6445,7411,1.54389839867477,2796,1811,0.869653218189178,0.981109162056403,0.111455943867224,1.61125,1.85275,7411,3705.5,1852.75,1852.75,0.754554041289974,0.977465929024423,0.992038861152341,0.130346781810822,0.0188908379435974,0.245445958710026,0.0225340709755768,0.00796113884765892,7.62499678384169e-18,17.1177603351628,8.95138888888889,10.2930555555556
